## Problema 2 Algoritmo 2#Dimensiones_Contenedor: [50 50 50] #Cajas totales: 25 
## Inicia DFF ##
#Num_pop: 50 
#Max_itr: 500 
#Gamma: 0.004 
aptitud	 cajas_faltantes	tiempo(s) 
1.0	 0	 663.32
1.0	 0	 664.03
1.0	 0	 664.19
1.0	 0	 664.27
1.0	 0	 664.77
1.0	 0	 666.55
1.0	 0	 689.35
1.0	 0	 690.07
1.0	 0	 692.79
1.0	 0	 705.42
1.0	 0	 711.84
1.0	 0	 810.93
1.0	 0	 570.87
1.0	 0	 570.95
1.0	 0	 571.33
1.0	 0	 569.21
1.0	 0	 571.08
1.0	 0	 594.35
1.0	 0	 569.65
1.0	 0	 582.11
1.0	 0	 615.71
1.0	 0	 691.84
1.0	 0	 711.49
1.0	 0	 945.82
1.0	 0	 546.33
1.0	 0	 545.73
1.0	 0	 547.72
1.0	 0	 548.75
1.0	 0	 553.04
1.0	 0	 573.87
1.0	 0	 591.38
1.0	 0	 614.45
1.0	 0	 791.86
1.0	 0	 821.35
1.0	 0	 801.84
1.0	 0	 501.71
1.0	 0	 483.43
1.0	 0	 487.9
1.0	 0	 487.87
1.0	 0	 489.95
1.0	 0	 487.59
1.0	 0	 461.97
1.0	 0	 460.65
1.0	 0	 455.4
1.0	 0	 370.38
1.0	 0	 256.4
1.0	 0	 250.62
1.0	 0	 225.89
1.0	 0	 189.16
1.0	 0	 166.8

## Inicia AG ## 
#Num_pop: 50 
#Max_itr: 500 
#Prob_cruza: 0.85 
#Prob_seleccion: 0.75 
#Prob_mutacion: 0.2 
aptitud	 cajas_faltantes	tiempo(s) 
0.802	 1	3.04
0.802	 1	3.13
0.97	 1	37.89
0.802	 1	1.98
0.983392	 4	75.36
0.802	 1	2.14
0.9776	 2	83.09
0.9792	 2	87.78
0.97	 1	44.5
0.9712	 2	124.27
0.802	 1	1.99
0.994592	 3	140.95
0.9808	 1	142.81
0.976	 3	149.43
0.802	 1	2.62
0.982368	 3	152.14
0.993568	 2	150.36
0.991712	 4	154.94
0.9864	 2	155.69
0.9952	 1	155.99
0.802	 1	2.37
0.9832	 3	96.38
0.996	 1	146.0
0.976	 3	92.0
0.995712	 3	154.18
1.0	 0	141.59
0.990592	 4	112.0
0.9872	 1	51.73
0.990592	 4	148.27
0.9784	 3	145.12
0.996	 1	144.06
0.9712	 2	100.7
0.802	 1	2.26
0.987968	 2	145.58
0.994592	 3	149.68
0.976	 3	76.83
0.987968	 2	130.86
0.97	 1	76.1
0.9896	 5	128.78
0.9808	 1	125.48
0.996	 1	99.89
0.996	 1	88.76
0.994592	 3	102.27
0.802	 1	1.38
0.976	 3	107.17
0.9872	 1	58.7
0.976	 3	46.63
0.9904	 1	63.87
0.996	 1	86.59
0.9792	 2	55.09
