Fi,Cajas,MaxItr,Time
0.976024,2,1000,205.036
0.845696,4,1000,225.408
0.845696,4,1000,346.888
0.943592,5,1000,77.3501
0.955992,2,1000,202.158
0.835856,4,1000,204.386
0.943592,5,1000,146.2
0.845696,4,1000,257.32
0.93448,1,1000,77.7889
0.94536,4,1000,573.3
0.856,2,1000,332.513
0.94536,4,1000,115.831
0.917672,6,1000,82.7118
0.845696,4,1000,273.196
0.845696,4,1000,256.194
0.90856,2,1000,73.2131
0.943592,5,1000,158.531
0.917672,6,1000,120.318
0.950104,3,1000,236.875
0.72448,1,1000,33.2387
