#  Fi BoxesPacked MaxItr Time(s)
0.959365 7 354 926.209
0.999829 2 191 288.548
0.999744 1 199 462.343
0.997508 3 259 484.454
0.981296 4 523 1204.04
0.993622 7 303 241.835
0.999908 4 364 846.657
0.999068 3 234 357.181
0.999829 2 198 472.937
0.999617 5 223 523.878
0.999029 6 42 88.1809
0.987373 1 44 97.9629
0.989366 4 587 1247.61
0.991838 3 1000 586.245
0.999755 2 206 438.192
0.978717 0 71 144.523
0.999598 3 494 918.743
0.999786 2 627 1237.13
0.999218 4 845 1370.8
0.998226 4 337 670.117
0.976079 7 945 2904.68
1 0 23 44.2132
0.99976 1 640 2056.3
0.99749 2 1000 1788.94
1 0 690 2209.65
0.991152 3 1000 1727.77
0.999066 3 1000 2836.76
0.997321 3 247 440.453
1 0 156 474.78
0.999598 6 366 1337.81
0.999622 3 296 730.584
0.999928 4 625 1689.11
1 0 364 1285.65
0.978707 5 994 2441.86
0.994458 1 1000 2669.95
0.98819 7 1000 1232.09
0.999738 2 498 1197.99
0.999616 4 386 1290.87
0.999195 3 1000 2745.06
0.998588 3 670 1819.63
