#  Fi BoxesPacked MaxItr Time(s)
0.967296 5 1000 2023.51
0.999829 2 313 224.811
0.989774 2 610 1227.58
0.999427 5 489 690.996
0.998936 2 997 1958.55
0.991543 7 688 508.487
0.999507 2 368 875.614
0.999797 6 132 236.634
1 0 236 561.993
0.999869 4 254 586.916
0.999036 14 52 122.621
0.98714 1 44 106.666
0.999949 2 435 1022.83
0.971579 5 1000 1312.16
0.999757 2 753 1377.96
0.997984 3 271 389.825
0.999674 3 412 822.94
0.999584 4 1000 1864.85
0.999392 4 444 972.246
0.997404 6 287 572.839
0.955357 6 1000 3051.64
1 0 118 213.342
0.999992 2 639 1970.83
0.999316 1 588 1368.4
0.995152 3 473 1572.61
0.986484 6 1000 2151.33
0.993963 0 571 1836.3
0.999877 3 277 715.019
1 0 111 359.425
0.999961 3 418 1530.71
0.999702 8 301 711.193
0.999928 4 1000 2515.18
1 0 213 726.638
0.9907 4 941 2740.83
0.999373 1 959 2598.43
0.99812 3 1000 1183.35
0.99898 1 577 1317.99
0.999545 2 1000 2953.65
1 0 312 1057.54
0.999246 5 618 1664.06
