#  Fi BoxesPacked MaxItr Time(s)
0.921005 8 1000 2363.04
0.995212 4 1000 1399.86
0.978272 6 1000 1998.36
0.99568 4 1000 1559.12
0.958465 8 1000 2257.34
0.951537 8 1000 1556.54
0.990632 4 1000 2122.63
0.995571 5 1000 1513.33
0.995212 4 1000 2089.77
0.999586 5 1000 1693.92
0.999342 8 1000 1976.72
0.987979 1 1000 1550.11
0.987983 6 1000 2185.7
0.87896 4 1000 1645.18
0.999754 2 1000 1985.21
0.970026 3 1000 1476.29
0.992945 6 1000 1929.71
0.999297 4 1000 2137.82
0.99885 4 1000 1990.84
0.986198 10 1000 1842.99
0.915573 4 1000 3181
0.984925 1 1000 1884.36
0.999126 3 1000 2923.29
0.989356 21 1000 2213.46
0.911104 6 1000 3016.24
0.945161 5 1000 2222.65
0.987499 8 1000 2996.03
0.995571 5 1000 2172.98
0.984925 1 1000 2668.5
0.999544 5 1000 2512.11
0.999622 3 1000 2396.59
0.999928 4 1000 2210.57
0.987983 6 1000 3016.1
0.910949 3 1000 2282.38
0.9604 1 1000 2690.82
0.988059 5 1000 2003.51
0.992972 5 1000 2244.96
0.999545 2 1000 2942.99
0.999195 3 1000 2882.27
0.972986 6 1000 2451.93
