0.952 1 1000 4406.67 4.40667
0.95036 3 1000 1276.71 1.27671
0.9104 1 1000 4209.68 4.20968
0.8888 2 1000 1470.27 1.47027
0.9968 2 1000 4850.63 4.85063
0.9636 2 1000 992.196 0.992196
1 0 564 2604.51 4.61792
0.984048 3 1000 2672.8 2.6728
1 0 66 352.434 5.33991
0.993952 1 1000 4598.28 4.59828
0.981632 3 1000 4126.88 4.12688
1 0 793 3659.85 4.61519
1 0 1 4.41586 4.41586
0.956 2 1000 4523.7 4.5237
0.915712 4 1000 4606.86 4.60686
1 0 214 1055.82 4.93375
1 0 1 7.29247 7.29247
0.971776 3 1000 4627.36 4.62736
0.932432 2 1000 4533.99 4.53399
1 0 215 1126.73 5.24059
0.952 1 1000 4195.67 4.19567
1 0 24 25.5346 1.06394
0.911376 2 1000 4035.33 4.03533
1 0 817 722.048 0.88378
1 0 5 34.8405 6.9681
1 0 415 2037.3 4.90915
1 0 1 5.76859 5.76859
0.974896 3 1000 3826.82 3.82682
1 0 7 40.1795 5.73993
1 0 5 33.3143 6.66286
0.9804 3 1000 2854.51 2.85451
0.957664 1 1000 4174.43 4.17443
1 0 1 3.19859 3.19859
0.9712 2 1000 4141.3 4.1413
0.92816 2 1000 4255.94 4.25594
1 0 1 6.30784 6.30784
1 0 406 2164.07 5.33021
0.94 1 1000 4113.87 4.11387
1 0 121 616.416 5.09434
1 0 435 2196.45 5.04931
