1 0 138 50.3845 0.365105
0.982008 2 146 36.4538 0.249684
1 0 301 84.446 0.280551
1 0 112 24.6433 0.22003
1 0 163 62.7896 0.385212
1 0 91 24.0424 0.264203
1 0 88 28.3824 0.322528
1 0 17 6.67388 0.392581
1 0 270 79.4629 0.294307
1 0 186 40.041 0.215274
0.997088 1 286 82.7263 0.289253
1 0 144 30.2224 0.209878
1 0 1 0.304399 0.304399
0.99 1 434 119.786 0.276005
0.998768 1 638 133.657 0.209494
1 0 3 0.191597 0.0638657
1 0 1 0.332834 0.332834
0.9904 1 242 80.4699 0.33252
1 0 102 39.0831 0.383168
1 0 149 48.8407 0.32779
1 0 302 105.524 0.349417
1 0 33 2.93043 0.088801
1 0 123 54.2033 0.440677
1 0 40 14.3786 0.359465
1 0 49 30.8773 0.630148
0.9972 1 214 68.546 0.320309
1 0 1 0.526277 0.526277
0.9976 1 83 38.3959 0.462602
1 0 74 29.0928 0.393146
1 0 75 30.5799 0.407732
0.9904 2 252 83.4818 0.331277
1 0 72 17.4888 0.2429
1 0 1 0.28774 0.28774
1 0 564 126.494 0.224279
0.993696 2 174 71.5608 0.411269
1 0 1 0.289797 0.289797
1 0 91 43.5485 0.478555
1 0 217 89.3286 0.411653
1 0 96 46.436 0.483708
1 0 257 89.6881 0.348981
