0.9952 1 1000 321.032
0.97464 3 1000 198.644
0.989808 1 1000 291.337
0.9676 1 1000 228.353
0.99808 2 1000 361.905
0.9888 3 1000 181.762
0.9984 1 1000 281.668
0.9952 1 1000 240.364
0.976688 2 1000 291.843
0.98992 1 1000 235.771
0.990704 4 1000 287.078
0.981968 2 1000 233.054
1 0 1 0.322982
0.9768 2 1000 316.535
0.95744 2 1000 323.081
0.9968 1 1000 202.135
1 0 1 0.35698
0.986 2 1000 333.379
0.995776 2 1000 331.904
0.948 1 1000 299.086
0.974 1 1000 413.981
1 0 148 27.6731
0.96976 3 1000 382.932
0.9676 1 1000 184.825
0.99712 1 1000 459.622
0.9944 2 1000 137.966
1 0 1 0.394593
0.9932 2 1000 404.923
1 0 846 299.392
0.996832 1 1000 241.795
0.99208 2 1000 355.437
0.994512 2 1000 207.526
1 0 1 0.259959
0.988 2 1000 422.02
0.985184 2 1000 410.112
1 0 1 0.302952
1 0 487 202.692
0.9764 3 1000 412.763
0.997888 1 1000 422.711
0.9892 1 1000 373.676
