#  Fi BoxesPacked MaxItr Time(s)
0.990848 5 562 1435.36
0.979293 12 1000 873.926
0.998376 7 653 1316.45
0.999022 12 216 374.674
0.959883 4 312 765.425
0.983545 6 492 1083.38
0.963793 3 131 310.787
0.998664 2 766 1539.26
0.994016 6 1000 1885.97
0.987975 5 1000 685.11
0.994342 5 402 650.446
0.999028 9 687 1227.32
0.996797 4 1000 1988.67
0.989272 4 1000 725.282
0.998777 7 310 602.368
0.999565 4 528 1078.3
0.99926 4 494 1375.77
0.9991 1 757 1569.04
0.998388 2 345 805.352
0.9661 5 345 693.808
0.997462 2 1000 3806.22
0.9769 3 1000 1422.09
0.997902 4 1000 2848.75
0.998048 12 316 812.689
0.995725 2 777 2542.92
0.973295 9 1000 2357.53
0.948165 4 349 1243.27
0.990818 5 1000 2733.25
0.997555 2 1000 3093.14
0.963686 0 1000 2046.84
0.993516 5 1000 2029.78
0.996437 5 1000 2512.08
0.995518 2 1000 3318.28
0.989946 9 1000 2022.4
0.998264 6 1000 2757.03
0.99527 1 808 1890.11
0.99784 1 661 2784.39
0.999518 3 1000 2876.91
0.998738 4 829 2903.1
0.978787 3 1000 3323.23
