#  Fi BoxesPacked MaxItr Time(s)
0.962573 10 243 719.329
0.997216 5 1000 1626.59
0.997382 7 363 782.014
1 18 155 333.619
0.976948 2 451 1137.13
0.986606 7 487 1051.09
0.982707 3 505 1201.66
0.99536 4 735 1142.62
0.996203 5 507 1110.46
0.984386 4 607 1162.74
0.994698 6 733 1182.22
0.991232 3 499 888.457
0.998037 4 1000 2219.51
0.990896 2 1000 617.291
0.998782 4 348 701.166
0.997481 5 702 1475.09
0.992718 4 791 2156.84
0.9991 1 761 1529.17
0.999463 5 455 1080.61
0.973852 3 1000 1891.33
0.97544 4 1000 3902.28
0.982312 1 1000 1423.98
0.995993 4 1000 2790.24
0.996868 1 248 707.643
0.96217 1 1000 3334.05
0.981429 4 736 1603.79
0.93597 2 1000 3248.11
0.987951 4 800 1575.18
0.996543 6 1000 3287.91
0.985391 4 1000 2006.04
0.996094 5 1000 2159.15
0.964745 3 785 2147.95
0.998408 1 958 3299.28
0.989407 7 1000 2129.08
0.992961 0 576 1398.39
0.994943 3 968 2937.78
0.985828 0 1000 3968.01
0.999543 3 1000 2879.33
0.999105 6 945 3327.34
0.968587 4 1000 3295.16
