#  Fi BoxesPacked MaxItr Time(s)
0.995948 5 673 1723.51
0.995305 6 1000 970.77
0.99704 4 478 1007.49
0.998368 7 270 577.137
0.996086 0 393 955.19
0.97909 7 388 933.513
0.986571 3 840 1821.46
0.99366 4 906 893.903
0.978671 4 1000 2005.35
0.990015 5 459 514.755
0.996187 2 972 1498.14
0.991198 7 1000 1167.89
0.996587 2 644 1629.25
0.985317 9 243 514.081
0.998682 4 399 790.731
0.992572 3 275 583.47
1 0 762 2112.69
0.9991 1 1000 2040.11
0.998754 6 417 1002.74
0.974189 3 1000 1905.95
0.972921 6 1000 3854.69
0.999802 1 910 1551.43
0.994466 7 1000 2832.42
0.995558 5 152 415.649
0.991578 3 1000 3292.96
0.98488 6 1000 2092.06
0.949477 4 910 3172.71
0.99622 3 1000 1920.87
0.999472 5 1000 3197.59
0.982921 3 1000 2213.7
0.99179 8 1000 1940.01
0.988765 3 968 2571.12
0.997428 3 1000 3438.65
0.987782 5 1000 2151.95
0.994563 0 1000 2418.51
0.99415 2 1000 2516.1
0.997262 2 700 2998.47
0.999518 3 1000 2801.97
0.999073 7 1000 3426.2
0.980687 4 1000 3211.62
