#  Fi BoxesPacked MaxItr Time(s)
0.935506 8 1000 2273.92
0.989161 7 1000 1259.8
0.990161 13 1000 1897.98
0.9888 9 1000 1507.66
0.955342 3 1000 2018.65
0.956995 13 1000 1522.09
0.946952 9 1000 1972.88
0.976009 5 1000 1474.26
0.975844 7 1000 1943.57
0.97013 3 1000 1550.72
0.984264 3 1000 1459.5
0.91612 6 1000 1538.92
0.99378 3 1000 2088.54
0.976028 5 1000 1556.65
0.992864 24 1000 1769.67
0.98718 2 1000 1433.79
0.975878 10 1000 2445.14
0.9991 1 1000 1859.79
0.997414 6 1000 1918.36
0.920374 4 1000 1755.32
0.963862 5 1000 3653.65
0.972325 3 1000 1713.46
0.994466 7 1000 2579.54
0.995558 5 1000 2305.54
0.950048 2 1000 3044.8
0.916658 6 1000 2142.98
0.930133 2 1000 3082.64
0.96857 7 1000 1963.13
0.972325 3 1000 3011.47
0.938172 1 1000 2302.5
0.982043 7 1000 1858.56
0.886037 7 1000 2491.2
0.994438 3 1000 3007.13
0.986094 6 1000 2447.49
0.98573 2 1000 2380.98
0.99415 2 1000 2491.28
0.957669 5 1000 3664.89
0.999518 3 1000 2573.24
0.9839 2 1000 3058.66
0.892084 3 1000 2939.64
