#  Fi BoxesPacked MaxItr Time(s)
0.93991 8 1000 2313.99
0.975525 7 1000 1229.18
0.990161 13 1000 1905.96
0.9888 9 1000 1488.99
0.953443 3 1000 2044.64
0.956995 13 1000 1487.64
0.946952 9 1000 1950.73
0.96377 7 1000 1425.65
0.978324 8 1000 1955.94
0.9694 4 1000 1519.49
0.9845 5 1000 1419.46
0.933992 3 1000 1511.14
0.99378 3 1000 2089.18
0.972556 6 1000 1543.06
0.992864 24 1000 1761.52
0.968326 4 1000 1422.35
0.975878 10 1000 2445.88
0.9991 1 1000 1858.42
0.997414 6 1000 1931.82
0.918974 5 1000 1771.36
0.963862 5 1000 3669.63
0.972325 3 1000 1669.18
0.994466 7 1000 2605.08
0.995558 5 1000 2288.92
0.974031 3 1000 3045.79
0.966995 7 1000 2146.25
0.917677 2 1000 3043.89
0.96857 7 1000 1930.06
0.972325 3 1000 3038.78
0.95693 2 1000 2232.65
0.981908 5 1000 1833.22
0.8982 3 1000 2480.52
0.994438 3 1000 3009.26
0.986094 6 1000 2401.8
0.98573 2 1000 2423.65
0.99415 2 1000 2454.96
0.954914 4 1000 3658.85
0.999518 3 1000 2552.01
0.9839 2 1000 3083.76
0.8899 3 1000 2928.83
